;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;0,000;0,000;0,000
Router 9;;;;;;;;;;0,000;0,000
Router 10;;;;;;;;;;;0,000
Router 11;;;;;;;;;;;
